fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 074538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	838609	0.0537014009001552	0.908788319016581	1830	231	7725	26150000	131
20220925 074633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	838609	0.0751129928816401	0.450902976839096	2284	121	10032	26100000	132
20220925 074843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	353	TRUE	838609	0.0149298323124227	0.31631340713603	4734	508	8479	26570000	133
20220925 075046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	838609	0.0183519583844028	0.290433455210747	1170	863	7928	27110000	134
20220925 075229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	838609	0.0218495701644826	0.283919979362418	1723	791	8016	27170000	135
20220925 075313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	838609	0.0682610520907857	0.616301403652258	2191	124	11218	26210000	136
20220925 075737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	380	TRUE	838609	0.0441092269894224	0.791369888440028	4	285	8350	24580000	137
20220925 075954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	285	TRUE	838609	0.0420785359146756	0.63960015636674	872	830	7719	26890000	138
20220925 080119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	838609	0.0374240163839291	0.679537695231966	814	330	8344	26840000	139
20220925 080246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	441	TRUE	838609	0.04245034431821	0.678360078888712	1001	22	7847	26950000	140
20220925 080504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	663	TRUE	838609	0.0164644589095029	0.688591980417839	1012	18	7858	26850000	141
20220925 080638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	252	TRUE	838609	0.0375355062534434	0.717444429508555	1028	59	10715	26010000	142
20220925 080721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	838609	0.116469048405702	0.446890584973562	1629	564	12335	25090000	143
20220925 080801	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	838609	0.1103217100005	0.494726270890086	1702	91	9571	26140000	144
20220925 081601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	326	TRUE	838609	0.0156009096731722	0.284242164562791	122	429	7457	26450000	145
20220925 081757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	838609	0.0403434504892836	0.545685406476993	680	300	7865	26750000	146
20220925 081830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	838609	0.118307020404953	0.325774717810754	1979	35	9551	26260000	147
20220925 081940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	154	TRUE	838609	0.0275456203580629	0.323167877245795	4468	482	7841	26160000	148
20220925 082043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	838609	0.0894553407199956	0.474720184886669	1916	59	8497	26050000	149
20220925 082632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1085	TRUE	838609	0.00571256522391239	0.202769334094564	911	29	7521	26800000	150
20220925 082946	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	528	TRUE	838609	0.0107589010339857	0.249503088606602	798	34	7527	26630000	151
20220925 083200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	269	TRUE	838609	0.0562033373922323	0.994965112207686	741	191	6487	25990000	152
20220925 083459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	723	TRUE	838609	0.0148068217759502	0.701721419400627	3883	35	7972	26140000	153
20220925 083528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	838609	0.0554456786374155	0.99125598477883	1160	16	9869	26510000	154
20220925 083639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	222	TRUE	838609	0.0703851313352677	0.920769985459532	2241	50	9531	25900000	155
20220925 083717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	838609	0.0717426358448062	0.552503521254857	2329	19	7220	25400000	156
20220925 083901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	838609	0.0283264112548959	0.681670817828649	781	491	7864	27080000	157
20220925 084031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	838609	0.0217872889123477	0.280180438961601	1782	1017	7928	27110000	158
20220925 084403	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	338	TRUE	838609	0.0320832624943718	0.751430906246448	775	283	7975	27410000	159
20220925 084558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	209	TRUE	838609	0.0313706016357572	0.799772070335767	830	110	8695	26930000	160
20220925 084745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	838609	0.0324355672510552	0.778156978085835	812	765	7855	26610000	161
